0	-1
1	2
2	-1
3	-1
4	2
5	2
6	-1
7	-1
8	2
9	2
10	2
11	2
12	-1
13	-1
14	1
15	2
17	-1
16	-1
19	2
18	-1
21	-1
20	2
23	-1
22	-1
25	2
24	-1
27	2
26	0
29	2
28	-1
31	-1
30	2
34	-1
35	2
32	-1
33	-1
38	2
39	1
36	2
37	2
42	2
43	2
40	-1
41	2
46	2
47	1
44	2
45	2
51	1
50	-1
49	2
48	-1
55	2
54	2
53	-1
52	2
59	2
58	-1
57	2
56	0
63	2
62	2
61	-1
60	0
68	2
69	2
70	-1
71	1
64	1
65	-1
66	2
67	1
76	2
77	-1
78	0
79	-1
72	-1
73	-1
74	-1
75	2
85	-1
84	2
87	-1
86	-1
81	-1
80	-1
83	2
82	2
93	-1
92	-1
95	-1
94	0
89	0
88	2
91	-1
90	2
102	-1
103	1
100	-1
101	2
98	2
99	2
96	-1
97	0
110	2
111	2
108	2
109	-1
106	-1
107	2
104	1
105	2
119	-1
118	2
117	-1
116	-1
115	2
114	2
113	-1
112	1
127	2
126	2
125	-1
124	2
123	0
122	-1
121	2
120	2
137	-1
136	2
139	2
138	-1
141	-1
140	-1
143	-1
142	-1
129	2
128	2
131	2
130	2
133	-1
132	2
135	1
134	2
144	0
145	-1
146	0
147	2
148	-1
149	-1
